Model,VaR level,T,Breaches,Breach rate,Expected rate,Kupiec LR,Kupiec p,Kupiec,Independence LR,Independence p,Independence,Conditional coverage LR,Conditional coverage p,Conditional coverage,n00,n01,n10,n11
4-state HMM,95%,1506,99,0.06573705179282868,0.050000000000000044,7.175447636962417,0.007390800454349975,Reject,0.04097918506261067,0.8395781055215836,Fail to reject,7.216426822025028,0.027100220597173368,Reject,1314,92,92,7
4-state HMM,99%,1506,24,0.01593625498007968,0.010000000000000009,4.542270831352823,0.0330676966917503,Reject,0.7778868511449559,0.37778819591534185,Fail to reject,5.320157682497779,0.06994270715688675,Fail to reject,1457,24,24,0
Gaussian,95%,1506,71,0.04714475431606906,0.050000000000000044,0.2632742129496819,0.6078795973284341,Fail to reject,1.9099723131308792,0.16696633419377815,Fail to reject,2.173246526080561,0.3373537273563537,Fail to reject,1369,65,65,6
Gaussian,99%,1506,36,0.02390438247011952,0.010000000000000009,21.161808921421084,4.22092346597959e-06,Reject,6.593824023817035,0.010233312746385006,Reject,27.75563294523812,9.395954068166478e-07,Reject,1437,32,32,4
Student-t,95%,1506,96,0.06374501992031872,0.050000000000000044,5.531618586892023,0.01867582104721598,Reject,5.205273556267343,0.022518471190060042,Reject,10.736892143159366,0.00466136911926032,Reject,1325,84,84,12
Student-t,99%,1506,18,0.01195219123505976,0.010000000000000009,0.5456645096974739,0.46009460428429794,Fail to reject,5.719358162246749,0.01677886293070265,Reject,6.265022671944223,0.04360814492044158,Reject,1471,16,16,2
"GARCH(1,1)",95%,1506,88,0.05843293492695883,0.050000000000000044,2.14384571004382,0.14314266169795875,Fail to reject,0.0046812072821467154,0.9454518198520543,Fail to reject,2.1485269173259667,0.34154922780458247,Fail to reject,1334,83,83,5
"GARCH(1,1)",99%,1506,32,0.021248339973439574,0.010000000000000009,14.549600263591003,0.00013651761330059334,Reject,0.13756598540885534,0.7107128431359546,Fail to reject,14.687166248999858,0.0006467290536577425,Reject,1442,31,31,1
"t-GARCH(1,1)",95%,1506,92,0.06108897742363878,0.050000000000000044,3.6524488381490983,0.05598683603507498,Fail to reject,0.027992693384248923,0.8671260014905343,Fail to reject,3.680441531533347,0.15878236852598432,Fail to reject,1327,86,86,6
"t-GARCH(1,1)",99%,1506,23,0.015272244355909695,0.010000000000000009,3.6411514309502593,0.05636793810189982,Fail to reject,0.8318951672050048,0.361725093532943,Fail to reject,4.473046598155264,0.10682927291180123,Fail to reject,1460,22,22,1
